index,dice,iou,time_ms
0,0.7611,0.6144,15.86
1,0.8375,0.7205,13.38
2,0.5384,0.3684,13.24
3,0.9332,0.8748,13.21
4,0.8942,0.8086,13.21
5,0.6739,0.5082,13.22
6,0.7450,0.5936,13.24
7,0.4980,0.3316,13.25
8,0.8714,0.7721,13.24
9,0.7314,0.5765,13.21
10,0.9140,0.8416,13.22
11,0.9398,0.8865,13.23
12,0.9356,0.8790,13.24
13,0.7680,0.6234,13.22
14,0.9018,0.8211,13.23
15,0.8090,0.6793,13.23
16,0.8802,0.7861,13.23
17,0.9253,0.8610,13.23
18,0.9448,0.8953,13.23
19,0.9216,0.8545,13.27
20,0.8744,0.7769,13.26
21,0.9525,0.9093,13.25
22,0.8895,0.8010,13.24
23,0.9510,0.9066,13.23
24,0.9710,0.9436,13.23
25,0.9082,0.8318,13.24
26,0.8965,0.8124,13.23
27,0.7655,0.6200,13.25
28,0.9758,0.9527,13.26
29,0.9610,0.9250,13.25
30,0.9484,0.9019,13.23
31,0.9565,0.9167,13.23
32,0.8915,0.8043,13.27
33,0.9496,0.9040,13.25
34,0.9274,0.8647,13.26
35,0.7414,0.5890,13.26
36,0.8611,0.7561,13.25
37,0.9486,0.9023,13.24
38,0.9057,0.8276,13.23
39,0.7316,0.5768,13.24
40,0.9132,0.8402,13.26
41,0.9575,0.9184,13.26
42,0.6668,0.5001,13.25
43,0.7350,0.5811,13.26
44,0.9347,0.8775,13.26
45,0.9429,0.8920,13.25
46,0.9377,0.8828,13.24
47,0.9571,0.9177,13.25
48,0.8776,0.7819,13.25
49,0.9013,0.8203,13.25
50,0.9328,0.8740,13.25
51,0.6176,0.4468,13.24
52,0.9674,0.9369,13.22
53,0.9690,0.9399,13.24
54,0.9536,0.9114,13.24
55,0.8890,0.8001,13.25
56,0.9376,0.8826,13.24
57,0.7577,0.6099,13.23
58,0.9442,0.8943,13.23
59,0.9166,0.8461,13.22
