Training fixmatch on cuda
Epoch   1/150 | loss=0.5618 dice=0.5040 iou=0.3521
Epoch  10/150 | loss=0.3537 dice=0.7949 iou=0.6754
Epoch  20/150 | loss=0.2858 dice=0.8062 iou=0.6933
Epoch  30/150 | loss=0.2257 dice=0.8248 iou=0.7218
Epoch  40/150 | loss=0.1823 dice=0.8372 iou=0.7471
Epoch  50/150 | loss=0.1911 dice=0.8343 iou=0.7361
Epoch  60/150 | loss=0.1479 dice=0.8412 iou=0.7433
Epoch  70/150 | loss=0.1445 dice=0.8520 iou=0.7684
Epoch  80/150 | loss=0.1260 dice=0.7996 iou=0.7111
Epoch  90/150 | loss=0.1201 dice=0.8527 iou=0.7697
Epoch 100/150 | loss=0.1385 dice=0.8282 iou=0.7379
Epoch 110/150 | loss=0.1317 dice=0.8426 iou=0.7445
Epoch 120/150 | loss=0.1111 dice=0.8562 iou=0.7639
Epoch 130/150 | loss=0.1100 dice=0.8178 iou=0.7232
Epoch 140/150 | loss=0.0941 dice=0.8013 iou=0.7108
Epoch 150/150 | loss=0.0972 dice=0.8519 iou=0.7717
Best Dice: 0.8562. Checkpoint: results/fixmatch/best.pth
