index,dice,iou,time_ms
0,0.9615,0.9259,95.72
1,0.8382,0.7215,85.14
2,0.8671,0.7654,85.24
3,0.9563,0.9163,86.03
4,0.9055,0.8273,85.94
5,0.6807,0.5160,85.20
6,0.6977,0.5357,85.28
7,0.9739,0.9491,85.58
8,0.7074,0.5472,85.25
9,0.8893,0.8007,85.48
10,0.9342,0.8765,86.69
11,0.9603,0.9237,86.09
12,0.9712,0.9441,85.08
13,0.9020,0.8214,85.86
14,0.8624,0.7581,85.91
15,0.9640,0.9306,85.97
16,0.8135,0.6856,86.68
17,0.9527,0.9097,87.06
18,0.9018,0.8212,86.45
19,0.9519,0.9082,87.49
20,0.9464,0.8982,85.83
21,0.9643,0.9310,86.94
22,0.9795,0.9599,85.90
23,0.9620,0.9267,86.05
24,0.9751,0.9514,85.05
25,0.9380,0.8833,86.46
26,0.9135,0.8407,85.37
27,0.9688,0.9395,84.95
28,0.9786,0.9581,85.06
29,0.9630,0.9286,85.64
30,0.9595,0.9222,85.88
31,0.7523,0.6030,85.87
32,0.7600,0.6130,84.83
33,0.7766,0.6348,86.12
34,0.9259,0.8621,85.73
35,0.6403,0.4709,86.74
36,0.9716,0.9448,86.41
37,0.9675,0.9371,86.51
38,0.9764,0.9538,86.59
39,0.9438,0.8935,86.94
40,0.9673,0.9367,86.43
41,0.9689,0.9397,86.20
42,0.9580,0.9195,85.43
43,0.8374,0.7203,85.90
44,0.9461,0.8977,85.85
45,0.9536,0.9113,85.01
46,0.9754,0.9519,85.38
47,0.9662,0.9347,85.62
48,0.8868,0.7967,85.19
49,0.9180,0.8484,85.67
50,0.9341,0.8764,85.93
51,0.9545,0.9130,85.94
52,0.9842,0.9690,85.45
53,0.9642,0.9308,86.47
54,0.9633,0.9292,85.76
55,0.9700,0.9418,86.30
56,0.9618,0.9264,85.40
57,0.8744,0.7769,85.58
58,0.9648,0.9320,86.06
59,0.9709,0.9435,85.09
