index,dice,iou,time_ms
0,0.9623,0.9273,479.67
1,0.9066,0.8292,313.96
2,0.9445,0.8948,313.45
3,0.8933,0.8072,313.23
4,0.9107,0.8360,312.88
5,0.7813,0.6411,312.23
6,0.6818,0.5172,313.39
7,0.9695,0.9407,314.44
8,0.7002,0.5387,313.46
9,0.9174,0.8474,313.99
10,0.9372,0.8818,313.16
11,0.9690,0.9399,311.45
12,0.9616,0.9261,316.36
13,0.8737,0.7757,313.59
14,0.8690,0.7683,312.81
15,0.9684,0.9387,313.37
16,0.6301,0.4600,312.87
17,0.9503,0.9054,314.53
18,0.9282,0.8661,313.90
19,0.9542,0.9123,315.91
20,0.9424,0.8910,311.97
21,0.9580,0.9195,314.96
22,0.9784,0.9577,315.54
23,0.9613,0.9255,314.36
24,0.8755,0.7785,314.14
25,0.9328,0.8740,316.55
26,0.9363,0.8802,316.25
27,0.9625,0.9277,315.80
28,0.9781,0.9572,312.12
29,0.9603,0.9237,317.83
30,0.9581,0.9196,314.05
31,0.9180,0.8485,313.16
32,0.8993,0.8169,315.70
33,0.9728,0.9471,314.35
34,0.9544,0.9128,315.42
35,0.8245,0.7014,314.52
36,0.9740,0.9493,316.04
37,0.9714,0.9444,315.42
38,0.9747,0.9506,314.89
39,0.9419,0.8901,318.05
40,0.9632,0.9291,315.03
41,0.9650,0.9323,315.02
42,0.9577,0.9188,318.30
43,0.8860,0.7954,315.82
44,0.9547,0.9134,318.03
45,0.9432,0.8925,316.08
46,0.9705,0.9427,315.84
47,0.9717,0.9450,315.45
48,0.9616,0.9260,317.79
49,0.9207,0.8531,316.86
50,0.9392,0.8854,317.18
51,0.9531,0.9105,316.24
52,0.9393,0.8856,316.61
53,0.9329,0.8742,315.50
54,0.9540,0.9121,316.73
55,0.9648,0.9319,318.32
56,0.9650,0.9323,315.13
57,0.8677,0.7663,315.34
58,0.9321,0.8728,317.99
59,0.9623,0.9274,315.18
