index,dice,iou,time_ms
0,0.9613,0.9254,327.43
1,0.9340,0.8762,322.27
2,0.9810,0.9628,319.95
3,0.8890,0.8003,322.79
4,0.9577,0.9188,321.06
5,0.7932,0.6573,321.27
6,0.8017,0.6691,319.95
7,0.8077,0.6775,322.55
8,0.8992,0.8168,320.00
9,0.9720,0.9455,320.70
10,0.9480,0.9011,322.27
11,0.9070,0.8299,322.12
12,0.9570,0.9175,322.29
13,0.9802,0.9612,315.51
14,0.8573,0.7503,316.48
15,0.9703,0.9423,317.44
16,0.9660,0.9343,315.27
17,0.9587,0.9206,317.70
18,0.9580,0.9195,316.76
19,0.7794,0.6386,316.38
