index,dice,iou,time_ms
0,0.9458,0.8972,268.35
1,0.7936,0.6579,14.04
2,0.8824,0.7896,13.99
3,0.9452,0.8961,14.01
4,0.8932,0.8070,13.99
5,0.7006,0.5392,14.01
6,0.6369,0.4673,13.98
7,0.9383,0.8838,13.99
8,0.7448,0.5934,13.97
9,0.8457,0.7327,13.98
10,0.9327,0.8739,13.99
11,0.9132,0.8402,13.99
12,0.9552,0.9142,13.98
13,0.7607,0.6138,13.98
14,0.9220,0.8553,13.97
15,0.8827,0.7900,13.98
16,0.8320,0.7123,13.99
17,0.9487,0.9025,13.91
18,0.9378,0.8829,13.19
19,0.9510,0.9067,13.17
20,0.9205,0.8528,13.17
21,0.9570,0.9175,13.17
22,0.9513,0.9072,13.18
23,0.9604,0.9239,13.18
24,0.9695,0.9408,13.17
25,0.9281,0.8659,13.18
26,0.9050,0.8265,13.17
27,0.9120,0.8382,13.15
28,0.9765,0.9541,13.17
29,0.9633,0.9292,13.17
30,0.9287,0.8669,13.16
31,0.9485,0.9020,13.15
32,0.8894,0.8008,13.15
33,0.9360,0.8796,13.16
34,0.9457,0.8970,13.14
35,0.8192,0.6938,13.16
36,0.8850,0.7938,13.16
37,0.9633,0.9292,13.18
38,0.9728,0.9470,13.19
39,0.7365,0.5829,13.18
40,0.9622,0.9271,13.21
41,0.9542,0.9124,13.22
42,0.9272,0.8643,13.21
43,0.8487,0.7372,13.18
44,0.9429,0.8920,13.17
45,0.9452,0.8961,13.20
46,0.9635,0.9296,13.17
47,0.9687,0.9393,13.17
48,0.9351,0.8781,13.16
49,0.8830,0.7905,13.18
50,0.9325,0.8735,13.18
51,0.9245,0.8596,13.18
52,0.9685,0.9389,13.18
53,0.9689,0.9396,13.19
54,0.9576,0.9186,13.19
55,0.9647,0.9318,13.17
56,0.9563,0.9162,13.16
57,0.8509,0.7404,13.18
58,0.9559,0.9156,13.17
59,0.9673,0.9366,13.17
