index,dice,iou,time_ms
0,0.7700,0.6261,13.95
1,0.8303,0.7098,13.32
2,0.4952,0.3291,13.22
3,0.9370,0.8815,13.20
4,0.9119,0.8381,13.18
5,0.6551,0.4871,13.20
6,0.7889,0.6513,13.23
7,0.5267,0.3575,13.22
8,0.9279,0.8654,13.22
9,0.7932,0.6572,13.59
10,0.9108,0.8361,13.37
11,0.8749,0.7776,13.23
12,0.8947,0.8094,13.23
13,0.7544,0.6057,13.21
14,0.8843,0.7926,13.19
15,0.8007,0.6676,13.20
16,0.9097,0.8343,13.21
17,0.9294,0.8680,13.23
18,0.9031,0.8233,13.78
19,0.9218,0.8550,13.27
20,0.8814,0.7879,13.22
21,0.9174,0.8473,13.23
22,0.8583,0.7518,13.20
23,0.9451,0.8958,13.21
24,0.9710,0.9437,13.24
25,0.8894,0.8008,13.24
26,0.9235,0.8579,13.25
27,0.7250,0.5687,13.23
28,0.9742,0.9497,13.24
29,0.9630,0.9286,13.26
30,0.9222,0.8557,13.23
31,0.9514,0.9074,13.23
32,0.8648,0.7618,13.20
33,0.9592,0.9216,13.21
34,0.9207,0.8530,13.21
35,0.7776,0.6361,13.22
36,0.8736,0.7756,13.23
37,0.9428,0.8917,13.22
38,0.9608,0.9246,13.21
39,0.8070,0.6765,13.24
40,0.9153,0.8437,13.24
41,0.9544,0.9128,13.25
42,0.6859,0.5220,13.22
43,0.7998,0.6664,13.20
44,0.9258,0.8619,13.23
45,0.9244,0.8594,13.22
46,0.9494,0.9036,13.21
47,0.9586,0.9205,13.20
48,0.8870,0.7970,13.23
49,0.8897,0.8012,13.23
50,0.9320,0.8727,13.22
51,0.6554,0.4874,13.23
52,0.9634,0.9294,13.21
53,0.9670,0.9362,13.22
54,0.9499,0.9045,13.22
55,0.8971,0.8134,13.23
56,0.9360,0.8797,13.24
57,0.7988,0.6650,13.20
58,0.9522,0.9088,13.21
59,0.8958,0.8113,13.22
