index,dice,iou,time_ms
0,0.9306,0.8701,52.29
1,0.8528,0.7434,37.88
2,0.8912,0.8037,37.85
3,0.9450,0.8958,38.00
4,0.8842,0.7924,37.92
5,0.7874,0.6493,38.02
6,0.6709,0.5048,37.94
7,0.7670,0.6220,37.93
8,0.7836,0.6442,37.90
9,0.8801,0.7859,37.93
10,0.9373,0.8820,37.90
11,0.8905,0.8026,38.00
12,0.9660,0.9342,37.96
13,0.8611,0.7560,38.01
14,0.9091,0.8334,37.98
15,0.7871,0.6489,38.02
16,0.8963,0.8121,38.00
17,0.9491,0.9031,38.09
18,0.9291,0.8675,37.97
19,0.9541,0.9122,38.05
20,0.9344,0.8769,37.98
21,0.9500,0.9048,38.05
22,0.9254,0.8612,38.01
23,0.9600,0.9231,38.05
24,0.9755,0.9522,37.93
25,0.8962,0.8119,38.03
26,0.9369,0.8813,37.97
27,0.8204,0.6955,38.07
28,0.9778,0.9566,38.00
29,0.9641,0.9307,38.07
30,0.9505,0.9056,37.97
31,0.9498,0.9043,38.04
32,0.9477,0.9007,37.99
33,0.9716,0.9449,38.09
34,0.9507,0.9061,37.98
35,0.8394,0.7233,38.08
36,0.8909,0.8032,37.96
37,0.9662,0.9346,38.04
38,0.9729,0.9473,37.96
39,0.8843,0.7926,37.99
40,0.9614,0.9258,37.97
41,0.9569,0.9173,38.03
42,0.8809,0.7871,37.93
43,0.8691,0.7684,38.01
44,0.9552,0.9143,37.94
45,0.9530,0.9102,38.02
46,0.9712,0.9441,37.99
47,0.9690,0.9399,38.06
48,0.9458,0.8972,37.97
49,0.9159,0.8448,38.06
50,0.9349,0.8777,37.98
51,0.8805,0.7866,38.03
52,0.9788,0.9585,38.04
53,0.9686,0.9391,38.08
54,0.9578,0.9190,37.99
55,0.9687,0.9392,38.02
56,0.9537,0.9114,37.99
57,0.8526,0.7430,38.04
58,0.9457,0.8969,37.95
59,0.9563,0.9162,38.03
